1.2.172.101|858320|524160|100.0.10.81|39498|HTTP|80
1.2.172.146|858320|524160|100.0.10.37|10561|HTTP|80
1.2.175.17|858320|524160|100.0.10.6|11052|HTTP|80
1.2.177.249|7540|504728|192.168.4.2|5751|HTTP|80
1.2.181.80|238320|19232|192.168.4.7|46837|HTTP|80
1.2.182.91|429160|262080|100.0.10.31|48922|HTTP|80
1.2.182.91|858320|524160|100.0.10.31|48922|HTTP|80
1.2.183.105|858320|524160|100.0.10.7|4592|HTTP|80
1.2.183.86|12866|8410|1.1.126.195|50064|TLS|443
1.2.183.86|19299|12615|1.1.126.195|50064|TLS|443
1.2.188.152|858320|524160|100.0.10.33|43779|HTTP|80
1.2.191.27|858320|524160|100.0.10.20|6383|HTTP|80
1.2.2.87|858320|524160|100.0.10.51|50063|HTTP|80
1.2.20.242|858320|524160|100.0.10.28|44884|HTTP|80
1.2.201.46|858320|524160|100.0.10.17|49748|HTTP|80
1.2.202.144|1010|352|1.1.204.179|2967|TLS|443
1.2.202.144|8080|2816|1.1.204.179|2967|TLS|443
1.2.203.29|1135564|7924|100.0.10.72|49504|HTTP|80
1.2.204.242|858320|524160|100.0.10.35|1251|HTTP|80
1.2.204.71|858320|524160|100.0.10.74|46242|HTTP|80
1.2.205.204|858320|524160|100.0.10.1|46441|HTTP|80
1.2.207.102|858320|524160|100.0.10.50|2475|HTTP|80
1.2.211.112|429160|262080|100.0.10.4|29937|HTTP|80
1.2.211.172|1135564|7924|100.0.10.66|57046|HTTP|80
1.2.211.68|858320|524160|100.0.10.68|51887|HTTP|80
1.2.212.35|429160|262080|100.0.10.49|27779|HTTP|80
1.2.212.35|858320|524160|100.0.10.49|27779|HTTP|80
1.2.216.115|858320|524160|100.0.10.18|32017|HTTP|80
1.2.216.229|858320|524160|100.0.10.31|31233|HTTP|80
1.2.220.177|858320|524160|100.0.10.12|51654|HTTP|80
1.2.221.217|429160|262080|100.0.10.87|52009|HTTP|80
1.2.221.217|858320|524160|100.0.10.87|52009|HTTP|80
1.2.222.41|858320|524160|100.0.10.46|30370|HTTP|80
1.2.223.134|858320|524160|100.0.10.96|50961|HTTP|80
1.2.224.23|858320|524160|100.0.10.25|60996|HTTP|80
1.2.225.118|858320|524160|100.0.10.59|25472|HTTP|80
1.2.229.165|858320|524160|100.0.10.36|62359|HTTP|80
1.2.232.47|858320|524160|100.0.10.86|27358|HTTP|80
1.2.236.40|858320|524160|100.0.10.76|54540|HTTP|80
1.2.238.72|858320|524160|100.0.10.2|26853|HTTP|80
1.2.238.73|858320|524160|192.168.4.3|27229|HTTP|80
1.2.239.175|858320|524160|100.0.10.3|57153|HTTP|80
1.2.241.28|858320|524160|100.0.10.63|59882|HTTP|80
1.2.242.246|429160|262080|100.0.10.47|59714|HTTP|80
1.2.242.246|858320|524160|100.0.10.47|59714|HTTP|80
1.2.242.57|858320|524160|100.0.10.14|21836|HTTP|80
1.2.245.233|858320|524160|192.168.4.1|21979|HTTP|80
1.2.248.225|858320|524160|100.0.10.56|23044|HTTP|80
1.2.249.199|858320|524160|100.0.10.6|23788|HTTP|80
1.2.251.26|429160|262080|100.0.10.2|60565|HTTP|80
1.2.251.32|858320|524160|100.0.10.13|24311|HTTP|80
1.2.254.170|858320|524160|100.0.10.61|58902|HTTP|80
1.2.29.181|858320|524160|100.0.10.55|11864|HTTP|80
1.2.29.59|858320|524160|100.0.10.62|11629|HTTP|80
1.2.3.132|858320|524160|100.0.10.14|48580|HTTP|80
1.2.30.7|858320|524160|100.0.10.41|38676|HTTP|80
1.2.4.205|1135564|7924|100.0.10.4|48390|HTTP|80
1.2.41.157|858320|524160|100.0.10.7|14607|HTTP|80
1.2.41.4|858320|524160|100.0.10.22|14439|HTTP|80
1.2.42.253|858320|524160|100.0.10.8|34560|HTTP|80
1.2.52.159|858320|524160|100.0.10.4|17005|HTTP|80
1.2.53.165|858320|524160|100.0.10.24|17548|HTTP|80
1.2.56.132|858320|524160|100.0.10.88|17415|HTTP|80
1.2.57.14|1135564|7924|100.0.10.5|18227|HTTP|80
1.2.57.144|858320|524160|100.0.10.65|18338|HTTP|80
1.2.57.236|429160|262080|100.0.10.112|64096|HTTP|80
1.2.6.105|858320|524160|100.0.10.27|48647|HTTP|80
1.2.60.10|858320|524160|100.0.10.34|62501|HTTP|80
1.2.61.160|1135564|7924|100.0.10.60|1028|HTTP|80
1.2.63.207|858320|524160|100.0.10.117|19791|HTTP|80
1.2.65.254|168200|7915|1.1.64.137|62485|TLS|443
1.2.65.69|858320|524160|100.0.10.32|1682|HTTP|80
1.2.66.139|858320|524160|100.0.10.2|65428|HTTP|80
1.2.67.3|1135564|7924|100.0.10.22|64940|HTTP|80
1.2.69.20|18360|6648|1.1.62.130|21755|TLS|443
1.2.69.20|29316330|10615194|1.1.62.130|21755|TLS|443
1.2.69.20|3379770|1223786|1.1.62.130|21755|TLS|443
1.2.69.20|45900|16620|1.1.62.130|21755|TLS|443
1.2.69.20|46393|16670|1.1.62.130|21755|TLS|443
1.2.69.20|83199870|30125966|1.1.62.130|21755|TLS|443
1.2.69.20|83718540|30313772|1.1.62.130|21755|TLS|443
1.2.7.193|858320|524160|100.0.10.4|43158|HTTP|80
1.2.70.213|858320|524160|100.0.10.23|21721|HTTP|80
1.2.72.225|858320|524160|100.0.10.10|60222|HTTP|80
1.2.73.138|858320|524160|100.0.10.106|59529|HTTP|80
1.2.73.188|858320|524160|100.0.10.113|58695|HTTP|80
1.2.74.222|858320|524160|100.0.10.58|59276|HTTP|80
